IDP,1,2,4,8,16,32,64,128
2,1.0000,1.9237,3.4798,5.9527,8.1415,12.6112,16.7443,18.2023
3,1.0000,1.0709,2.0201,3.8891,7.0273,8.5653,12.8195,16.6555
6,1.0000,1.8930,2.6063,3.4388,2.8152,2.8008,2.8553,2.7756
8,1.0000,1.8999,3.3836,5.9113,7.2740,12.2823,18.2523,21.8572
9,1.0000,1.8645,3.4086,5.1736,5.3523,8.1474,7.7062,4.9371
10,-,-,-,-,-,-,-,-
11,1.0000,1.8549,3.3129,6.1472,9.5040,15.9280,25.1625,31.9867
14,1.0000,1.8999,3.5575,5.5030,7.0229,11.5973,16.5272,18.7848
radix-8,1.0000,1.9189,3.4259,5.1480,6.2940,10.6521,18.7992,28.2428
radix-1,1.0000,1.9928,3.9251,5.0047,4.9693,9.6736,10.8238,15.9583
